LocationID	LocationName	StartDate	EndDate	SPA
2060110	Schelde EKE	NA	NA	0
2060112	De Ratte/Koedreef EKE	NA	NA	0
2060402	Hazeheet KRUISHOUTEM	NA	NA	0
2060406	Kasteelvijver KRUISHOUTEM	NA	NA	0
2060408	Leemputten KRUISHOUTEM	NA	NA	0
2060501	Souverein DEINZE	NA	NA	0
2060502	Noorderwal DEINZE	NA	NA	0
2060505	Vosselareput DEINZE	NA	NA	0
2060509	Brielmeersen DEINZE	NA	NA	0
2060601	Kallemoeie NAZARETH	NA	NA	0
2060602	Prijkels Zuid NAZARETH	NA	NA	0
2060603	Prijkels Noord NAZARETH	NA	NA	0
2060604	De Biezen NAZARETH	NA	NA	0
2060605	Dragonder NAZARETH	NA	NA	0
2060607	Lulhoek KRUISHOUTEM (=Leemputten)	NA	NA	0
2060701	Scheldemeersen SEMMERZAKE-EKE	NA	NA	0
2060901	Weiput ZINGEM	NA	NA	0
2060905	Meersen + Coupure ZINGEM	NA	NA	0
2060906	Moorteleput ZINGEM	NA	NA	0
2060907	Grootmeers ZINGEM	NA	NA	0
2060908	Kleinmeers ZINGEM	NA	NA	0
2060909	Moeras Vindevogel ZINGEM	NA	NA	0
2060910	Spettekraai ZINGEM	NA	NA	0
2060911	Mesure ZINGEM	NA	NA	0
2061002	Oude Schelde WELDEN	NA	NA	0
2061003	Reytmeersen WELDEN	NA	NA	0
2061004	Oude Schelde NEDERENAME	NA	NA	0
2061005	Put Vandemoortele NEDERENAME	NA	NA	0
2061006	Scheldemeersen NEDERENAME	NA	NA	0
2061103	Dal HEURNE	NA	NA	0
2061201	Langemeersen WORTEGEM-PETEGEM	NA	NA	0
2061202	Donkvijver OUDENAARDE	NA	NA	0
2061204	Ohio-Vijver OUDENAARDE	NA	NA	0
2061205	Nieuwe Vijver OUDENAARDE	NA	NA	0
2061206	Waterspaarbekken OUDENAARDE	NA	NA	0
2061207	Vestingen OUDENAARDE	NA	NA	0
2061208	Opgespoten terrein OUDENAARDE	NA	NA	0
2061209	Oude Schelde 't Veer OUDENAARDE	NA	NA	0
2061301	Scheldemeersen BERCHEM-MELDEN	NA	NA	0
2061501	Centrale KLUISBERGEN (RUIEN)	NA	NA	0
2062101	Pereboomplassen OLSENE	NA	NA	0
2062106	Kasteelvijver OLSENE	NA	NA	0
2062202	Oude Leie GOTTEM	NA	NA	0
